confirmation_rate,label,mean_mae_r,mean_mfe_r,median_mae_r,median_mfe_r,n_sweeps,r1_rate,r2_rate,r3_rate,reclaim_rate,resolved_n,session,side,stop_rate,theoretical_1r_expectancy,theoretical_2r_expectancy,theoretical_3r_expectancy
0.4978540772532189,Asia High,,,,,1165,,,,0.6781115879828327,0,Asia,high,,,,
0.5256637168141592,Asia Low,,,,,1130,,,,0.7743362831858407,0,Asia,low,,,,
0.4757446808510638,London High,1.4097292879281795,1.4858446150570677,1.1871476888387682,0.9463087248321876,1175,0.48466257668711654,0.22699386503067484,0.08588957055214724,0.7021276595744681,163,London,high,0.7975460122699386,-0.31288343558282206,-0.3435582822085889,-0.5398773006134969
0.484070796460177,London Low,1.1983275220934644,1.5657463801754472,1.0443529490527408,0.9410422189800001,1130,0.4794520547945205,0.21232876712328766,0.1232876712328767,0.7389380530973452,146,London,low,0.5616438356164384,-0.08219178082191786,-0.13698630136986306,-0.19178082191780826
