ambiguous,continuation,expected_sign,feature,median_split,n,neither,p_reversal,p_reversal_wilson_hi,p_reversal_wilson_lo,reversal,slice,spearman,spearman_matches_expected,status,threshold_stability
12,10,1,ndelta_rev_sweep60,"{""ok"": true, ""n"": 51, ""median"": -0.10137149672033392, ""n_lo"": 26, ""n_hi"": 25, ""p_reversal_lo"": 0.34615384615384615, ""p_reversal_hi"": 0.8, ""lift_hi_minus_lo"": 0.4538461538461539}",51,0,0.5686274509803921,0.694989719076657,0.4326506123505807,29,pdl_long_reversal,0.44647967946110423,True,THRESHOLD_STABLE,"{""ok"": true, ""stable"": true, ""lifts"": {""p50"": 0.4538461538461539, ""p60"": 0.29838709677419356, ""p70"": 0.23333333333333328, ""p80"": 0.2878048780487805}, ""sign"": 1}"
6,6,1,ndelta_rev_sweep60,"{""ok"": true, ""n"": 63, ""median"": -0.06842372022301065, ""n_lo"": 32, ""n_hi"": 31, ""p_reversal_lo"": 0.5, ""p_reversal_hi"": 0.8064516129032258, ""lift_hi_minus_lo"": 0.30645161290322576}",63,10,0.6507936507936508,0.7567418060364581,0.5275123111600184,41,pdh_short_reversal,0.35156266763818333,True,THRESHOLD_STABLE,"{""ok"": true, ""stable"": true, ""lifts"": {""p50"": 0.30645161290322576, ""p60"": 0.24736842105263157, ""p70"": 0.1985645933014354, ""p80"": 0.12254901960784315}, ""sign"": 1}"
