block,candidate_id,date_end,date_start,e1r,e2r,e3r,median_mae_r,median_mfe_r,r1_rate,r2_rate,r3_rate,resolved_n,stop_rate
1,C_ORB15_FVG_TOUCH,2025-11-03,2025-08-01,-0.09999999999999998,0.45000000000000007,0.04999999999999993,1.2478070175437295,2.117094017093849,0.75,0.65,0.3,20,0.85
2,C_ORB15_FVG_TOUCH,2026-02-09,2025-11-04,0.30000000000000004,0.5,0.5000000000000002,1.0725574712643982,2.6761715296197477,1.0,0.6,0.4,10,0.7
3,C_ORB15_FVG_TOUCH,2026-05-14,2026-02-10,-0.05555555555555558,-0.05555555555555558,0.05555555555555558,1.3446327683616008,1.6889892715979427,0.8888888888888888,0.4444444444444444,0.3333333333333333,18,0.9444444444444444
4,C_ORB15_FVG_TOUCH,2026-08-14,2026-05-15,-0.19999999999999996,-0.19999999999999996,0.0,1.7999999999999545,1.435897435897379,0.8,0.4,0.3333333333333333,15,1.0
1,A_ORB15_BREAKOUT_CLOSE,2025-11-03,2025-08-01,-0.24074074074074076,-0.01851851851851849,-0.05555555555555558,1.0991693934054902,0.813307240704497,0.48148148148148145,0.35185185185185186,0.2222222222222222,54,0.7222222222222222
2,A_ORB15_BREAKOUT_CLOSE,2026-02-09,2025-11-04,-0.39999999999999997,-0.17999999999999994,-0.2799999999999999,1.1497969940879171,0.9417087700776832,0.42,0.32,0.18,50,0.82
3,A_ORB15_BREAKOUT_CLOSE,2026-05-14,2026-02-10,-0.33999999999999997,-0.31999999999999995,-0.41999999999999993,1.1592715996929024,0.9676998463276124,0.5,0.26,0.14,50,0.84
4,A_ORB15_BREAKOUT_CLOSE,2026-08-14,2026-05-15,-0.4038461538461538,-0.3653846153846153,-0.5384615384615383,1.117447769621685,0.8345283018867233,0.4230769230769231,0.23076923076923078,0.09615384615384616,52,0.8269230769230769
1,B1_ORB15_RETEST_TOUCH,2025-11-03,2025-08-01,-0.20833333333333337,-0.08333333333333337,-0.14583333333333337,1.1957446808511587,1.3520553520553382,0.625,0.375,0.22916666666666666,48,0.8333333333333334
2,B1_ORB15_RETEST_TOUCH,2026-02-09,2025-11-04,-0.24444444444444446,-0.19999999999999996,-0.0888888888888889,1.2250000000000227,1.3187499999999943,0.5777777777777777,0.3111111111111111,0.24444444444444444,45,0.8222222222222222
3,B1_ORB15_RETEST_TOUCH,2026-05-14,2026-02-10,-0.375,-0.35416666666666674,-0.20833333333333337,1.2064475977096332,1.0382146589043955,0.5208333333333334,0.2708333333333333,0.22916666666666666,48,0.8958333333333334
4,B1_ORB15_RETEST_TOUCH,2026-08-14,2026-05-15,-0.276595744680851,-0.25531914893617025,-0.34042553191489366,1.2054794520547893,1.1224489795919201,0.574468085106383,0.2978723404255319,0.1702127659574468,47,0.851063829787234
