e_pts,e_r,entry,hold_e_r,hold_n,n,or_minutes,pf,target_r,train_e_r,wr
-0.2949176327028676,-0.03961365497317099,range_1m,-0.043343238902344226,400,1639,5,0.9216091077901122,0.5,-0.03840959236488262,0.6461256863941428
-0.31857404021937824,-0.03532027447067389,range_1m,-0.08305169983675297,401,1641,5,0.9420631965316381,1.0,-0.01988454739664348,0.4875076173065204
0.02953686776355917,-0.00975889208467059,range_1m,-0.06642307908095015,401,1641,5,1.0046378026364766,1.5,0.008565574839126266,0.4034125533211456
0.28654478976234055,0.020467340646854966,range_1m,-0.032806720564976244,401,1641,5,1.04140065981146,2.0,0.037695484635519735,0.352224253503961
0.24708714198659407,0.018463028581513583,range_1m,-0.02187640819453618,401,1641,5,1.0328118121552683,3.0,0.03150828192602645,0.2882388787324802
-0.7193292682926828,-0.06042555017067662,close_1m,-0.07518401381552103,399,1640,5,0.8414643815605753,0.5,-0.055680484099530025,0.6304878048780488
-0.49204268292682896,-0.035088779891507584,close_1m,-0.06093180769808648,399,1640,5,0.9220440599109682,1.0,-0.026779861201076498,0.4865853658536585
-0.1835060975609751,-0.01544195539588829,close_1m,-0.05543998039170198,399,1640,5,0.9747653458057398,1.5,-0.002581994095864386,0.401219512195122
0.009939024390244517,-8.029743099471592e-05,close_1m,-0.08326808783037329,399,1640,5,1.0012660823528317,2.0,0.026665817290481553,0.349390243902439
0.11725609756097621,0.0167221245741984,close_1m,-0.04817037083621471,399,1640,5,1.0141519743954504,3.0,0.03758602922267127,0.3067073170731707
-0.09735678704856769,-0.005643462097925838,range_1m,-0.014714553431943663,379,1606,15,0.9810886585169678,0.5,-0.0028415520607679274,0.6650062266500623
0.12983810709838162,0.001798910601908254,range_1m,0.019897274318633543,379,1606,15,1.0175330910607472,1.0,-0.003791374523306811,0.5062266500622665
0.5374501867995026,0.03638173962007808,range_1m,0.06642118234207865,379,1606,15,1.0643678358068156,1.5,0.027103052748327295,0.43711083437110837
0.7716500622665015,0.059639968090758506,range_1m,0.085075731661544,379,1606,15,1.0873764023712698,2.0,0.05178328154362916,0.39975093399750933
0.849794520547946,0.06789549130653204,range_1m,0.04781862645161071,379,1606,15,1.092675752005427,3.0,0.07409690270018744,0.36924034869240346
0.17910804020100526,0.007878466890622255,close_1m,-0.0021267754882838418,371,1592,15,1.033158975623257,0.5,0.010918552822296425,0.6727386934673367
0.2873052763819102,0.01439952305412016,close_1m,0.0792786449099692,371,1592,15,1.036853597615019,1.0,-0.005313952956133727,0.5131909547738693
1.0183040201005034,0.06313192150114524,close_1m,0.0840418942586064,371,1592,15,1.1185526563081607,1.5,0.05677844083528276,0.4528894472361809
1.1302701005025135,0.07869450246154011,close_1m,0.09204617210706185,371,1592,15,1.1253921575459407,2.0,0.07463760693452244,0.4221105527638191
1.4218844221105535,0.09761546770640152,close_1m,0.09098084905869852,371,1592,15,1.153766938111192,3.0,0.0996313919638117,0.40138190954773867
-0.06845413726747887,-0.0006127095514845368,close_5m,0.02217626074232623,357,1559,15,0.988354316007032,0.5,-0.007381147484005705,0.6619627966645285
0.5970365618986537,0.026478568911938408,close_5m,0.07133201426254451,357,1559,15,1.0748957166582982,1.0,0.013156871748738424,0.5214881334188582
1.1689576651699816,0.06617841587333204,close_5m,0.07379535483815765,357,1559,15,1.1338128328974246,1.5,0.06391614697945289,0.4663245670301475
1.0640025657472747,0.0726563345246794,close_5m,0.07060839007860867,357,1559,15,1.1171488722484197,2.0,0.07326458424784682,0.4400256574727389
1.2495381654907,0.08130031732584818,close_5m,0.07515667719926919,357,1559,15,1.1350296811185943,3.0,0.08312500911053096,0.4252726106478512
0.3251294820717135,0.007894515828851874,range_1m,0.027803613402275856,325,1506,30,1.0553711026951353,0.5,0.00241572098434485,0.6620185922974767
0.3633930942895094,0.01513847586238745,range_1m,0.01460519351089355,325,1506,30,1.0444577490131919,1.0,0.015285230108141486,0.5132802124833997
0.6578818061088986,0.038604389174804764,range_1m,0.007994275679768846,325,1506,30,1.0745054128603186,1.5,0.047028002117977225,0.46082337317397076
1.0385258964143436,0.06230590918028893,range_1m,0.011869224118067604,325,1506,30,1.1153955974633953,2.0,0.07618560659368599,0.4455511288180611
1.4737848605577697,0.09111128479524483,range_1m,0.06150057783007241,325,1506,30,1.1624166977056973,3.0,0.09925987053925926,0.43691899070385126
0.36981381178063677,0.002908780663857426,close_1m,0.0515380415407855,310,1477,30,1.0607527258450038,0.5,-0.010009017855292276,0.6526743398781314
0.33435341909275634,0.008813532946597548,close_1m,0.03758984487575422,310,1477,30,1.0400740717899113,1.0,0.0011694398034625265,0.5118483412322274
0.5346750169262026,0.02438674979858233,close_1m,0.029240538918693038,310,1477,30,1.0602427514783874,1.5,0.023097397076016504,0.46784021665538256
0.9863507109004748,0.052176552292790154,close_1m,0.03916753694643042,310,1477,30,1.109594523433386,2.0,0.05563224617228589,0.4583615436696005
1.3147190250507794,0.07117234423111625,close_1m,0.08240817743085803,310,1477,30,1.1453476317686344,3.0,0.0681876756005079,0.45226811103588355
