bucket,median_mae_r,median_mfe_r,n_rows,r1_rate,r2_rate,r3_rate,resolved_n,stop_rate,theoretical_2r_expectancy
1-1.25,1.1801785949940615,1.1261162187128844,6,0.8,0.4,0.2,5,0.6,0.20000000000000007
1.25-1.5,0.9153052482363165,0.7413247794210069,2,0.5,0.0,0.0,2,0.5,-0.5
1.5-2,0.7604456853908075,1.4507471072052927,6,0.6666666666666666,0.3333333333333333,0.3333333333333333,6,0.3333333333333333,0.3333333333333333
<1,0.8896821120689655,1.217394381147831,18,0.5882352941176471,0.35294117647058826,0.11764705882352941,17,0.47058823529411764,0.23529411764705888
>2,1.0172675516306975,1.5260235189097116,42,0.5625,0.28125,0.1875,32,0.53125,0.03125
