block,candidate_id,date_end,date_start,e1r,e2r,e3r,median_mae_r,median_mfe_r,r1_rate,r2_rate,r3_rate,resolved_n,stop_rate
1,G1_OR30_bo_volOFF_dispOFF,2025-11-03,2025-08-01,0.11702127659574474,0.19148936170212766,0.053191489361702204,0.9363390746369435,1.3322784810126256,0.6063829787234043,0.3404255319148936,0.18085106382978725,94,0.48936170212765956
2,G1_OR30_bo_volOFF_dispOFF,2026-02-06,2025-11-04,-0.2095238095238095,-0.22857142857142854,-0.2952380952380952,1.0769230769231077,0.6602209944751314,0.45714285714285713,0.21904761904761905,0.12380952380952381,105,0.6666666666666666
3,G1_OR30_bo_volOFF_dispOFF,2026-05-12,2026-02-09,-0.020000000000000018,0.050000000000000044,-0.14,1.0560455151467583,1.1667143129407598,0.57,0.32,0.15,100,0.59
4,G1_OR30_bo_volOFF_dispOFF,2026-08-14,2026-05-13,-0.26530612244897955,-0.4081632653061224,-0.4591836734693877,1.0441948257114184,0.7300297990963998,0.40816326530612246,0.1326530612244898,0.07142857142857142,98,0.673469387755102
