e_pts,e_r,entry,hold_e_r,hold_n,n,or_minutes,pf,target_r,train_e_r,wr
-0.30016556291390806,-0.014173054674673814,range_1m,0.02365856349134199,219,1359,5,0.9815118642685078,0.5,-0.021440707638145273,0.6600441501103753
0.5047461368653399,-6.748972007538359e-05,range_1m,0.028224773537004057,219,1359,5,1.0212308277995552,1.0,-0.005502582398409065,0.5018395879323032
1.3174760853568777,0.028578594084998257,range_1m,0.02627604156936775,219,1359,5,1.0473245236688697,1.5,0.02902092654194833,0.4179543782192789
0.4703458425312713,0.012534517539653775,range_1m,0.010396214438406434,219,1359,5,1.0152516935058615,2.0,0.012945296819630239,0.3539367181751288
3.0032744665194993,0.06854120491340294,range_1m,0.020919281364151828,219,1359,5,1.0924842458753763,3.0,0.07768962706891697,0.3127299484915379
-0.369642857142858,-0.016810565164540457,close_1m,0.020394653197382758,167,1204,5,0.9785669394860976,0.5,-0.022802148063712276,0.6578073089700996
1.947632890365446,0.022186923080439364,close_1m,0.04668106342776941,167,1204,5,1.0799711483863046,1.0,0.018242350816211672,0.5132890365448505
2.4713039867109607,0.04085493074929245,close_1m,0.04991671414137346,167,1204,5,1.0860126932644178,1.5,0.03939560786937198,0.42524916943521596
3.241652823920264,0.04909819720638047,close_1m,0.06951388692245584,167,1204,5,1.1043304508213154,2.0,0.04581042460986688,0.3729235880398671
6.780481727574751,0.12002437900941118,close_1m,0.12205806123192998,167,1204,5,1.2090070392696262,3.0,0.11969687184339321,0.3430232558139535
2.4425872093023244,0.0431629327177252,range_1m,0.10465061130102553,88,860,15,1.144550684347066,0.5,0.03615397453724537,0.6941860465116279
5.266569767441858,0.08404246710458173,range_1m,0.1330597022101164,88,860,15,1.215065634370615,1.0,0.07845501025317363,0.5430232558139535
7.063081395348835,0.11697667139653131,range_1m,0.10605876469389859,88,860,15,1.2494046397043728,1.5,0.11822119962170188,0.46511627906976744
8.37470930232558,0.13838663502593418,range_1m,0.11036082738161952,88,860,15,1.2774412499446253,2.0,0.1415812866745089,0.4255813953488372
8.799127906976743,0.15063897279875785,range_1m,0.054340037120102665,88,860,15,1.2795556516069206,3.0,0.16161605354969263,0.39767441860465114
0.5789879356568352,0.002863592976598974,close_1m,0.06205013297805748,69,746,15,1.0307721079348116,0.5,-0.0031687131683059556,0.6648793565683646
4.336193029490614,0.0652115278774822,close_1m,0.19978144033475975,69,746,15,1.1691350052678224,1.0,0.0514961305960167,0.5388739946380697
6.276541554959783,0.09127822634230962,close_1m,0.21969584766705644,69,746,15,1.2143988790798197,1.5,0.07818987202708431,0.4624664879356568
8.427010723860588,0.12862500245265057,close_1m,0.1155744896680988,69,746,15,1.27631607864166,2.0,0.12995511379996827,0.4383378016085791
7.883445040214476,0.12136148867996098,close_1m,0.12262688024952384,69,746,15,1.2476716493966187,3.0,0.12123251967213257,0.4128686327077748
2.565577507598783,0.027366580944138613,close_5m,0.07745571912841594,62,658,15,1.143651556796038,0.5,0.022155965898123187,0.6793313069908815
3.073556231003037,0.037362353280132925,close_5m,0.1410675965169425,62,658,15,1.1175263902650214,1.0,0.026574223950129244,0.5227963525835866
5.857180851063827,0.07714795006459928,close_5m,0.08567591248738905,62,658,15,1.2011742045605802,1.5,0.07626081303404061,0.46504559270516715
6.568617021276594,0.09162531390038896,close_5m,0.041505634179401424,62,658,15,1.2169269415215977,2.0,0.09683910608612926,0.43617021276595747
7.2958206686930085,0.10412777008261263,close_5m,-0.005826808804309135,62,658,15,1.2332161742666223,3.0,0.11556599808762799,0.41641337386018235
3.4077586206896537,0.03918580524867897,range_1m,0.24221521021267203,40,522,30,1.1987253248131555,0.5,0.0223368919736588,0.685823754789272
5.22001915708812,0.07330599516835065,range_1m,0.26634902144325745,40,522,30,1.2086472786302795,1.0,0.057285827012756724,0.5440613026819924
7.5844827586206875,0.11357968529601832,range_1m,0.2561914847451347,40,522,30,1.2719928001703775,1.5,0.1017446811923572,0.4885057471264368
7.21522988505747,0.1095382676387121,range_1m,0.20124342456459896,40,522,30,1.2481796796236135,2.0,0.10192788117183353,0.45977011494252873
7.009291187739462,0.10786979596499743,range_1m,0.2057010965222709,40,522,30,1.2356511910244066,3.0,0.09975101583576312,0.446360153256705
2.629519450800914,0.03038339445121842,close_1m,0.16112112142559898,29,437,30,1.146668028131262,0.5,0.021090761896666862,0.6773455377574371
4.341762013729975,0.05671361242434237,close_1m,0.18880244870511365,29,437,30,1.1712718902328938,1.0,0.047324945139679706,0.5423340961098398
6.586327231121279,0.0921588073880102,close_1m,0.22981484251775247,29,437,30,1.2393345224285814,1.5,0.08237443234202362,0.494279176201373
6.894965675057207,0.10016939139096716,close_1m,0.2661242056945443,29,437,30,1.241748102504854,2.0,0.08837358351154624,0.4759725400457666
6.638672768878718,0.10025279776310435,close_1m,0.3245568075754221,29,437,30,1.2290173355647478,3.0,0.08430962059507197,0.4668192219679634
