full_avg_risk_usd_nq,full_avg_stop_points,full_cost_adjusted,full_expectancy_points,full_expectancy_r,full_max_consec_losses,full_max_dd_points,full_max_trades_one_day,full_median_r,full_n_ambiguous,full_n_days,full_n_entered,full_n_expired,full_n_resolved,full_n_setups,full_n_stop,full_n_target,full_n_time,full_p90_stop_points,full_p95_stop_points,full_profit_factor,full_win_rate,full_worst_day_points,shallow_max
291.8604651162791,14.593023255813954,True,-1.0902439024390242,-0.10415297173024692,6,187.27500000000003,1,-1.0090398365679265,4,82,86,16,82,105,52,30,0,25.75,29.5,0.8846302748741773,0.36585365853658536,-39.2,16.425
305.8888888888889,15.294444444444444,True,-0.9936046511627906,-0.08800086798084744,6,206.55000000000007,1,-1.0084210526315789,4,86,90,19,86,114,54,32,0,26.5,33.0,0.8990310764504313,0.37209302325581395,-39.2,18.25
308.04347826086956,15.402173913043478,True,-0.8534090909090908,-0.08054353118083926,6,196.20000000000007,1,-1.0084210526315789,4,88,92,21,88,119,55,33,0,26.5,33.0,0.9133294864396999,0.375,-39.2,20.075
