block,expectancy_points,max_dd_points,profit_factor,resolved_n,win_rate
1,6.683701657458563,1127.5,1.2904736178642175,362,0.6933701657458563
2,6.284156976744186,832.0,1.2943759787567237,344,0.6540697674418605
3,6.566011235955056,688.75,1.285889007796973,356,0.6713483146067416
4,6.468575418994414,760.0,1.271937292663594,358,0.6927374301675978
