e_r,hold_e_r,hold_n,n,pf,target_r,train_e_r,wr
-0.18180587588951394,-0.1341039708236756,165,709,0.6599462834420454,0.5,-0.19627428459514504,0.5712270803949224
-0.17992123326859394,-0.17387473161368902,181,758,0.7790487556836806,1.0,-0.18181796948962997,0.43007915567282323
-0.19659410836559096,-0.18070557115878663,187,782,0.7764686208794653,1.5,-0.20158764863058662,0.3375959079283887
-0.1787557289767875,-0.10522570825071505,190,793,0.8240046088849059,2.0,-0.20192439222380865,0.287515762925599
-0.15989092644425082,-0.02197909088645785,197,812,0.8455183690270647,3.0,-0.20406756320016173,0.2204433497536946
