bucket,expectancy_r,n,win_rate
0_15m,0.009501799810718097,1110,0.5099099099099099
15_30m,0.10116546182678716,317,0.555205047318612
30_60m,-0.13454982641541882,124,0.4435483870967742
gt_60m,-0.07337146369066794,41,0.4878048780487805
