bucket,expectancy_r,feature,mean_x,n,win_rate
1,0.01814161950888187,break_distance,0.3113207547169811,318,0.5251572327044025
2,-0.01660942604794146,break_distance,0.6053459119496856,318,0.5
3,0.031022599197748548,break_distance,1.0932601880877744,319,0.5203761755485894
4,-0.004486593355349997,break_distance,1.876572327044025,318,0.5
5,0.043784735813478866,break_distance,3.99294670846395,319,0.5203761755485894
