bucket,expectancy_r,mean_width,n,win_rate
1,0.0027280928004493675,6.980345911949685,318,0.5062893081761006
2,0.012322229119105655,10.209905660377359,318,0.5125786163522013
3,0.027339686599552354,13.2641065830721,319,0.5141065830721003
4,0.03677237568865848,17.888364779874212,318,0.5283018867924528
5,-0.007137734051754851,26.8730407523511,319,0.5047021943573667
