bucket,e2r,entries_triggered,filter_applied,impulses,r2_rate
08:20-09:30,-0.10344827586206895,33,False,302,0.3448275862068966
09:30-10:30,0.0,30,False,192,0.3333333333333333
10:30-11:30,0.33333333333333337,9,False,74,0.5
11:30-12:30,0.0,4,False,28,0.3333333333333333
