adverse_ticks,e_r,hold_e_r,n,wr
0_tick,0.033895122345065094,0.08359365569922651,1594,0.5219573400250941
1_tick,0.01439952305412016,0.0792786449099692,1592,0.5131909547738693
2_tick,0.00032279685473379874,0.07316030890500273,1591,0.5047140163419234
